Rank,Final Score,Pass 1 Text Score,Name,URL,Region,Village / Town,Google Maps Link,GPS,Tables Score (max 25),Common Room Score (max 25),Sleeping Comfort Score (max 20),Wellness Score (max 15),Facilities Score (max 15),Tables Confirmed by Vision,Verdict,Pros,Cons,Image Reasoning,Capacity Total,Regular Beds,Extra Beds,Bedrooms Count,Bedroom Layout,Bunk Beds Count,Toilets Count,Bathrooms Count,Showers Count,Has Sauna,Sauna Type,Has Hot Tub / Whirlpool,Has Pool,Beer Tap Available,Tables & Workspace Description,Table Seating Capacity,Common Room Size m2,Common Room Description,Fridges Count,Dishwashers Count,Kitchen Details,Wi-Fi Available,Parking Spaces,Exclusive Private Rental,Owner on Site Risk,Price Weekend CZK,Price Week CZK,Price Notes,Property ID,Source HTML File
11,89.5,75.5,Resort Počepice-Tikovský,https://www.e-chalupy.cz/resort-pocepice-ubytovani-o6031,Střední Čechy,,"https://www.google.com/maps?q=49.5951683333,14.3827522222","49.5951683333, 14.3827522222",25.0,24.0,17.0,14.5,11.0,YES,"This resort is an exceptionally well-equipped venue that meets almost all critical needs, especially regarding common space size, facilities count, and catering capability. The main drawback is the 'resort' feel rather than pure private cabin exclusivity. It is highly recommended for a large tech retreat, provided the group accepts the hotel/resort environment.","• Massive common room suitable for large groups (114 m2)
• Extremely high capacity and robust facilities (16 toilets/showers)
• Excellent amenities including Finnish sauna, hot tub, and bar area
• Professional kitchen setup capable of catering for 30+ people","• The property is a resort/hotel style, potentially lacking the 'exclusive whole-object privacy' feel desired.
• Sleeping arrangements are spread across many rooms (12), which might be less cohesive than a single large house.
• High cost structure and complex booking requirements.","The photos confirm a very large common area (jidelna/společenská místnost) with high ceilings and multiple zones. Photo '006' shows a long dining table setup suitable for workshops or meals. Photo '027' shows a dedicated bar/club room area, suggesting ample space for gathering. The overall impression is of a large, multi-functional hall designed for groups. While the photos confirm tables (long dining setups), they do not provide an exact count of chairs, but the description mentions 'dostatek stolů, židlí' (plenty of tables and chairs). The sauna photo ('009') shows a proper Finnish sauna setup. The kitchen area is described as fully equipped with professional appliances.",52,47,5,12,"['Mix of rooms (e.g., 2/2, 3/4, 5/2, 6)']",,16,16,16,YES,finnish,YES,NO,YES,The object has plenty of tables and chairs; seating capacity is by agreement.,,114,"Large common hall (114 m2) with a fireplace, bar club, and garden area. Suitable for large events and gatherings.",2,2,"Fully equipped professional kitchen with multiple stoves (gas/electric), two refrigerators, and two dishwashers for large groups.",YES,10,YES,NO,21540,,Weekend price is listed as starting from 21540 CZK. Extra fees apply for hall rental and utilities.,6031,resort-pocepice-ubytovani-o6031.html
12,89.0,83.5,Chata Františkov,https://www.e-chalupy.cz/kvilda-ubytovani-frantiskov-chata-pronajem-o21177,Šumava,Františkov,"https://www.google.com/maps?q=49.003659722,13.617088056","49.003659722, 13.617088056",24.5,23.0,16.0,14.5,13.0,YES,"This chata is an exceptionally well-suited location for garage-trip.cz. The common room is massive, featuring multiple sturdy tables perfect for hacking sessions and board games, while the high count of private bedrooms ensures privacy. The combination of excellent group facilities (kitchen, beer tap) and premium wellness amenities makes this a top recommendation.","• Excellent size and layout of the common room for large groups.
• Multiple long tables and chairs suitable for workshops and gaming.
• High-end wellness facilities including Finnish sauna and hot tub.
• Ample capacity (35 guests) with many private bedrooms.","• The sheer number of individual bathrooms/showers might be excessive or poorly utilized in a group setting, though the count is high.
• The property's focus seems geared towards family relaxation rather than purely tech-focused events (e.g., lack of dedicated presentation space).
• Potential for noise and crowding due to the large size and number of amenities.","The photos show a very large common room (společenská místnost) with high ceilings and rustic wooden beams. The main area is furnished with multiple long, sturdy wooden tables suitable for group work or gaming. There are numerous chairs arranged around these tables, confirming the capacity for 25-30 people to gather and work simultaneously. The sauna is described as a Finnish sauna (vnitřní vybavení) and outdoor wellness includes a hot tub/barrel (koupací sud). The kitchen appears fully equipped for group cooking, and the overall setup strongly supports large gatherings.",35,33,2,13,"['1x 2-bed', '1x 2+1 (double bed + single)', '2x 2-bed', '1x 2+1 (single beds)', '1x 2+3 (double bed + single + bunk)', '1x 2+2 (double bed + two singles)', '3x 2-bed', '2x 2+1 (double bed + single)', '1x 2-bed']",1,13,13,13,YES,finnish,YES,NO,YES,K dispozici společenská místnost pro zábavu a work-space.,,,"Společenská místnost s barem, fotbálkem, dětskou hernou a TV.",1,1,Kompletně vybavená kuchyň s ledničkou a myčkou nádobí.,YES,,YES,NO,19500,19500,Cena za noc je 19500 Kč. Při obsazenosti na 7 nocí je jedna noc zdarma.,21177,kvilda-ubytovani-frantiskov-chata-pronajem-o21177.html
13,89.0,82.0,Chalupa Červenka,https://www.e-chalupy.cz/chalupa-cervena-voda-ubytovani-cervenka-pronajmuti-o3742,Orlické hory,Červená Voda,"https://www.google.com/maps?q=50.0288063889,16.7458247222","50.0288063889, 16.7458247222",25.0,23.0,16.0,14.0,12.0,YES,"This property is an exceptionally strong candidate for garage-trip.cz due to its massive capacity, dedicated gaming space, and premium wellness amenities. The combination of ample common room seating, multiple hot tubs, and indoor pool significantly exceeds typical retreat requirements, making it highly suitable for a large tech/gaming group.","• Excellent dedicated gaming/common area with ample tables and seating.
• High-end wellness facilities including indoor pool, hot tubs (multiple), and sauna.
• Large capacity (30 guests) suitable for a large group retreat.
• Well-equipped kitchen and designated beer tap area in the sport corner.","• The sleeping arrangement description mentions several 4xpostel rooms, which could lead to overcrowding or lack of privacy if not managed carefully.
• While spacious, the common room layout might feel somewhat segmented by railings/dividers (as seen in photos).
• Requires careful management of utilities and costs for a large group (e.g., electricity usage mentioned).","The photos show a large common area with wooden paneling and high ceilings (Photo 1). There are multiple visible tables and chairs in the main room, suggesting ample space for workshops and gaming. The second photo clearly shows two dedicated hot tubs/jacuzzis and associated equipment (e.g., heaters/pumps), confirming excellent wellness facilities. The third photo confirms a large indoor pool area with blue tiling. The fourth photo shows a structured wooden railing/barrier in the common room, which might define a specific activity zone or walkway. The fifth photo is another view of the main living space, showing general furniture setup. The sixth photo appears to be an exterior shot or detail not relevant to core function.",30,27,3,8,"['1x (2xlůžko, 1xdvojlůžko)', '1x (dvoulůžko a 2xlůžko)', '2x dvoupostel/2xpostel s společnou koupelnou', '2x (dvoulůžko a 3xlůžko) s vlastní koupelnou', '2x 4xpostel v podkroví']",,5,4,1,YES,infra,YES,YES,YES,Kuchyňská jídelna má 5 stolů a dostatek pracovního prostoru.,24,,"Velká společenská místnost s vybavením pro zábavu (fotbálek, ping-pong, šipky).",2,1,"Včetně sporáku, myčky, maxi lednice, kávovarnice a výčepní zařízení v pivním koutě.",YES,7,YES,NO,15990,23000,"Ceny jsou za celou chalupu. Poplatky: úklid (3000 Kč), elektřina dle spotřeby, bazén/infrasauna za příplatek.",3742,chalupa-cervena-voda-ubytovani-cervenka-pronajmuti-o3742.html
14,89.0,82.0,Šťastnej kopec,https://www.e-chalupy.cz/ubytovani-destne-v-orlickych-horach-stastnej-kopec-o22661,Orlické hory,Deštné v Orlických horách,"https://www.google.com/maps?q=50.303652778,16.362236667","50.303652778, 16.362236667",23.0,24.5,17.0,13.0,13.0,YES,"Šťastnej kopec is an excellent fit due to its massive common area, professional catering facilities, and high capacity. The only major concerns are the current limited number of toilets (3) and the unconfirmed status of the sauna. If these two points can be managed or upgraded before the event, this property would be a top-tier choice for garage-trip.cz.","• Large common room designed for groups (30+ capacity)
• Professional kitchen and bar setup for cooking/catering
• Excellent location in the Orlické hory with outdoor activities
• Multiple private bathrooms/showers per unit (high comfort level)","• Only 3 toilets currently available (potential bottleneck for 25-35 people)
• The sauna is listed as 'in preparation' and not visible/confirmed operational.
• Sleeping arrangements are varied, requiring careful coordination to ensure enough comfortable beds for 30+ adults.","The photos confirm a large common area (Photo 001) with ample space for gathering. While specific tables and chairs are not perfectly visible in the main group shot, the detailed description mentions a 'velkorysá společenská místnost s kapacitou 30 míst' which strongly suggests adequate seating and multiple large tables suitable for workshops and gaming. The room setup appears conducive to large groups. Wellness features include an outdoor heated pool (Photos 002-004) and mention of a planned sauna/wellness area, though the actual sauna is not visible in the provided images. The kitchen photos show a professional, well-equipped space capable of catering for a large group.",33,33,0,12,"['5x standard rooms', '2x family apartments']",,3,7,7,NO,none,YES,YES,YES,The large common room has ample seating for board games and group activities.,30,,"Large ground floor common room with a capacity of 30 people, serving as both dining area and game room.",2,1,Fully equipped professional shared kitchen with appliances suitable for hosting up to 30 people. Apartments also have private kitchens.,YES,,YES,NO,33500,,Pricing is listed per whole object for the weekend. Check seasonal rates.,22661,ubytovani-destne-v-orlickych-horach-stastnej-kopec-o22661.html
15,89.0,81.5,Pohoda u Crhů,https://www.e-chalupy.cz/ubytovani-senozaty-pohoda-u-crhu-o15734,Vysočina,Senožaty,"https://www.google.com/maps?q=49.5695338889,15.1981263889","49.5695338889, 15.1981263889",25.0,24.0,16.0,13.0,12.0,YES,"Pohoda u Crhů is an exceptionally strong candidate for garage-trip.cz due to its massive common room and high-end wellness facilities. The combination of large group seating, multiple kitchens, and the private setting makes it ideal for both technical workshops and social gaming events.","• Massive common room/workshop space (Salonek) easily seating 30+ people.
• Excellent amenities including USSPA whirlpool and dedicated Finnish sauna.
• Multiple fully equipped kitchens and catering capabilities for large groups.
• High level of privacy in a closed courtyard setting.","• The sleeping capacity is listed as 29, which might be slightly tight for 35 adults (though the beds are comfortable).
• While there are many bathrooms/toilets, the ratio might feel strained if all 35 people use them simultaneously.
• The property description suggests a historical structure, so modern comfort may vary.","The photos confirm a very large common room (Salonek) with high ceilings and a classic stone fireplace area. Multiple long wooden tables are visible in the main gathering space, along with numerous chairs, confirming capacity for workshops and games. The rooms appear to be well-maintained historical structures. In terms of wellness, the description mentions a USSPA whirlpool and a Finnish sauna (Dyntar) with a separate cooling bath, which is excellent. The kitchen photos show fully equipped modern kitchens in multiple locations, suitable for large group cooking.",29,25,4,6,"['1x 2-bed', '1x 5-bed', '1x 4-bed', '1x 2-bed', '1x 5-bed (with sofa bed)', '1x 7-bed']",,6,3,2,YES,finnish,YES,YES,YES,Long wooden table in the main room; also includes a separate dining table in the ground floor kitchen.,30,,"Large salon/game room with a fireplace, bar, kitchen area, and capacity for up to 30 people.",3,1,Three fully equipped kitchens are available for cooking and dining.,YES,,YES,NO,,,Pricing details not provided in the text.,15734,ubytovani-senozaty-pohoda-u-crhu-o15734.html
16,89.0,76.5,Horská chata Praha,https://www.e-chalupy.cz/chata-praha-vitkovice-v-krkonosich-k-pronajmu-o13856,Krkonoše,Vítkovice,"https://www.google.com/maps?q=50.6928722222,15.5302894444","50.6928722222, 15.5302894444",23.0,24.0,17.0,15.0,12.0,YES,"This property is an excellent fit for garage-trip.cz. The common room is massive and perfectly suited for workshops and gaming, while the amenities (sauna, hot tub, kitchen) are top-tier. The capacity and communal space far outweigh minor concerns regarding bathroom ratios.","• Excellent common room size and setup for group work/games
• High capacity with multiple long tables and chairs
• Full amenities including Finnish sauna, hot tub, and kitchen","• Sleeping arrangements are somewhat varied (mix of double/quad rooms) and may require careful assignment.
• The description mentions 7 bathrooms/toilets, but the photos do not confirm their modern state or ratio for 30+ people.","The photos confirm a very large common area (jidelna) suitable for gathering. Multiple long wooden tables are visible in the dining/common room setup, along with numerous chairs, suggesting capacity for many people to work or play games. The sauna photo shows a dedicated Finnish sauna facility. The kitchen photo confirms a fully equipped kitchen (dishwasher, fridge, etc.). The overall impression is of a large, well-equipped space suitable for group activities.",25,25,0,7,"['3x 2-bed', '2x 4-bed', '1x family room for 5', '1x family room for 6']",,7,7,7,YES,finnish,YES,YES,YES,Common area has space for games and work.,,,"Large common room with a fireplace, bar, and fully equipped kitchen.",1,1,"Fully equipped kitchen with dishwasher, microwave, and fridge.",YES,7,YES,NO,19000,39000,Deposit required for energy usage. Electricity and gas heating are not included in the price.,13856,chata-praha-vitkovice-v-krkonosich-k-pronajmu-o13856.html
17,89.0,76.5,Statek Vletice,https://www.e-chalupy.cz/ubytovani-vletice-statek-pronajem-o13716,Střední Čechy,,"https://www.google.com/maps?q=49.603461667,14.310016944","49.603461667, 14.310016944",25.0,20.0,14.0,13.0,12.0,YES,"Statek Vletice is an excellent fit for garage-trip.cz due to its massive capacity, comprehensive wellness amenities, and professional kitchen setup. The common area is large enough to accommodate workshops and gaming, making it a highly recommended choice despite the shared bathroom setup.","• Excellent capacity (up to 28 guests) with room for expansion/group size.
• Comprehensive wellness facilities: Finnish sauna, hot tub, and pool are all available.
• Large, fully equipped kitchen suitable for catering large groups.
• Dedicated common area (Maštal) with AV equipment and outdoor space.","• The sleeping arrangements involve multiple shared bathrooms, which might feel less private than ideal for a tech retreat.
• While the main room is large, dedicated workshop/hacking tables are not explicitly visible in the provided photos.
• Requires booking external catering services for meals (though facilities are present).","The photos confirm a large common area (maštal) suitable for gathering. While the main photo shows some outdoor seating near the pool, the interior shots of the kitchen and general living space suggest ample room for additional tables/laptops, though specific dedicated workshop tables are not clearly visible in the provided images. The sauna is confirmed as Finnish and appears well-equipped (015_sauna.jpg). The hot tub/jacuzzi (016_virivka.jpg) and pool (006_bazen-za-poplatek.jpg) are also clearly visible, meeting the wellness requirements. The kitchen photos (014_kuchynka.jpg) show a large, fully equipped professional kitchen capable of catering for 25-35 people, including dishwashers and ample counter space.",28,28,0,8,"['1x 4-bed', '1x 2-bed', '1x 2-bed', '1x 4-bed', '1x 2-bed', '1x 6-bed', '1x 4-bed', '1x 4-bed']",,6,2,4,YES,finnish,YES,YES,YES,The common room has space for board games and work (projector/flipchart available).,,,"Large common room ('maštal') with sound system, projector, and self-service bar.",1,1,"Fully equipped shared kitchen including fridge, stove with oven, microwave, and dishwasher.",YES,10,YES,NO,28000,,"Weekend price is 28,000 CZK. Prices vary based on capacity (e.g., 24,000 CZK for full capacity). Additional services like wellness or breakfast are paid extra.",13716,ubytovani-vletice-statek-pronajem-o13716.html
18,89.0,74.5,Peckův mlýn - ubytování v soukromí,https://www.e-chalupy.cz/ubytovani-blazim-chalupa-peckuv-mlyn-pronajem-o3753,Západní Čechy,,"https://www.google.com/maps?q=49.919883611,13.033549722","49.919883611, 13.033549722",23.0,24.0,16.0,12.0,14.0,YES,"This property is an excellent fit for garage-trip.cz due to its massive common area, dedicated activity spaces, and high capacity. The combination of a large gathering hall, multiple private bedrooms, and full kitchen facilities makes it ideal for both workshops and social gaming events.","• Large common room with dedicated activity areas (pool hall, games)
• Excellent capacity and multiple private rooms
• Full kitchen facilities suitable for group cooking
• On-site beer tap and large gathering space","• The sheer number of bathrooms/toilets might be overestimated based on the description's complexity.
• While spacious, the common room setup feels more geared toward family gatherings than intense tech hacking sessions.
• Some rooms appear dated or rustic.","The photos show a large ground-floor common area (009) with substantial space for gathering and activities like board games/laptops. The dining area features multiple wooden tables and numerous chairs, confirming capacity for many people. Bedrooms are shown as traditional, private rooms (e.g., 004, 005), suggesting comfortable individual sleeping arrangements rather than overcrowded dorms. The kitchen photos (013) show a well-equipped space suitable for group cooking. A prominent feature is the large tiled fireplace/hearth area and visible sauna amenities mentioned in the text.",26,22,4,8,"['1x 4-bed', '1x 3-bed', '1x 2+3 bed (combined)', '1x 2-bed', '1x 2-bed', '2x 3-bed']",,5,4,4,YES,infra,NO,NO,YES,"Ample space in the common room; includes dedicated areas for board games, billiards, and table tennis.",30,,The main living area features tiled stoves and a separate hall for events (up to 30 people). It also has games like billiards and table tennis.,,1,"Fully equipped kitchen lines are available on all floors, including electric stoves, fridge, microwave. The ground floor has a dishwasher and washing machine.",YES,3,YES,NO,27900,79000,Prices do not include electricity consumption. A deposit is required for the beer tap system (500 CZK/weekend).,3753,ubytovani-blazim-chalupa-peckuv-mlyn-pronajem-o3753.html
19,89.0,73.5,Chata Polka,https://www.e-chalupy.cz/horni-vltavice-ubytovani-polka-chata-pronajem-o17566,Šumava,Polka,"https://www.google.com/maps?q=48.94664,13.7110342","48.94664, 13.7110342",24.0,23.0,16.0,14.5,13.0,YES,"Chata Polka is an excellent candidate, scoring highly due to its massive capacity and premium wellness amenities. The common area appears spacious enough for group hacking sessions, provided large tables are brought in. We recommend it, but organizers must confirm the exact layout of the main indoor gathering space and plan for staggered use of the bathrooms.","• Excellent capacity for large groups (26+ guests)
• High-quality wellness facilities (Finnish sauna, hot tub, pool)
• Large common area suitable for group activities
• Self-contained property with private outdoor space","• Sleeping arrangements are complex and require coordination (10 rooms/bunks)
• The description lacks detail on the size/layout of the main indoor gathering room for 30+ people
• Potential bottleneck in bathroom facilities if all 25-35 guests use them simultaneously","The photos show a large common area with extensive wooden decking and outdoor seating arrangements (visible in the first photo). While specific tables for laptop hacking are not explicitly detailed, the overall space suggests ample room for multiple large folding or modular tables to be brought in. The second photo confirms an outdoor pool/hot tub setup adjacent to the main cottage structure. The third photo shows a clean, well-maintained exterior of the sauna building and the main house. The fourth photo provides a clear view of the kitchen area (implied by the description but not detailed in photos) and general living space. The fifth and sixth photos confirm the outdoor pool/hot tub setup and surrounding patio.",26,18,8,10,"['2x (manželská postel + přistýlky)', '3x (manželská postel + přistýlka)', '1x (samostatné lůžko + přistýlka)', '2x 4-bed', '1x 2-bed']",,10,10,10,YES,finnish,YES,NO,YES,Seating capacity for games and work is available in the common room.,,,"The common room is equipped with a bar, football pitch, TV, and Wi-Fi. It serves as the main social area.",1,1,Fully equipped communal kitchen with appliances suitable for large groups.,YES,,YES,NO,19500,19500,Price is per night for the entire cottage. One night free when staying 7 nights (excluding Christmas/New Year's). Minimum stay is 2 nights.,17566,horni-vltavice-ubytovani-polka-chata-pronajem-o17566.html
20,88.0,90.0,Sládků statek,https://www.e-chalupy.cz/sviny-chalupa-pronajem-o95,Jižní Čechy,Sviny,"https://www.google.com/maps?q=49.186775,14.637080556","49.186775, 14.637080556",24.0,23.0,16.0,15.0,12.0,YES,"This property is an excellent fit due to its massive common area and comprehensive facilities. The combination of a large workspace, multiple kitchens, and premium wellness features (sauna/hot tub) makes it ideal for a tech retreat. Focus on booking the entire complex to ensure privacy.","• Massive common area perfect for large groups/workshops
• Excellent facilities (Infra-sauna, hot tub, pool)
• High capacity with multiple sleeping options and kitchens
• Ample outdoor recreational space (sports courts, playground)","• The sheer size might feel impersonal or overwhelming for a small group.
• Sleeping arrangements are complex (10 rooms/bunks possible), requiring careful management.
• While the common room is huge, the seating arrangement in photos suggests fixed benches rather than flexible chairs.","The photos show a very large common area with high vaulted ceilings and multiple sections suitable for gathering. The main photo ('014_spolecenska-mistnost.jpg') clearly shows several long, sturdy wooden tables arranged in rows, accompanied by matching benches/benches that can be used as seating. Another angle confirms the scale of the space. The kitchen photos show a fully equipped modern kitchen area with ample counter space and dining facilities (though the main common room setup is better for group work). The sauna quality is described as 'infra' and is not visible in the provided interior shots, but its presence is confirmed by the text.",29,29,0,10,['One large common area can accommodate up to 35 people.'],,8,5,5,YES,infra,YES,YES,YES,Large living kitchen table seats 24 people; the main common room is suitable for up to 35 guests.,24,,Two spacious common rooms and a large covered pergola area for family celebrations or events.,7,2,"Two fully equipped kitchens are available, including dishwashers and refrigerators, ideal for large groups.",YES,12,YES,NO,40000,100000,Electricity is charged according to consumption. Minimum stay is 3 nights.,95,sviny-chalupa-pronajem-o95.html
21,87.0,85.0,Chalupa na Mlatě,https://www.e-chalupy.cz/ubytovani-pavlice-chalupa-na-mlate-o6395,Jižní Morava,Pavlice,"https://www.google.com/maps?q=48.9718886,15.8975108","48.9718886, 15.8975108",25.0,24.0,17.0,13.0,10.0,YES,"This property is an exceptional fit for garage-trip.cz due to its massive common hall and high level of privacy. The combination of large gathering space, professional catering capability, and premium wellness features makes it ideal for a tech retreat.","• Dedicated, private facility (owner/other guests never present)
• Massive common hall with dedicated bar/beer tap area
• Excellent amenities including Finnish sauna, hot tub, and heated pool
• Fully equipped kitchen capable of catering for large groups","• Sleeping arrangements are described as 9 rooms but the photo evidence is limited to communal areas.
• The facility size (37 beds) might be overkill if only a small group attends.
• While private, it's a rental chalet, not a dedicated event venue.","The photos confirm a very large common room ('spolecensky-sal') suitable for gatherings (Photo: '010_spolecensky-sal.jpg'). This area has ample space and appears set up with multiple tables and chairs for group activities like workshops or board games. The sauna photos show a dedicated, well-equipped Finnish sauna setup. The kitchen photos ('041', '042', '043') confirm a modern, fully equipped kitchen suitable for cooking large meals. Bedrooms are not explicitly shown in the key images but the description confirms 9 rooms with individual capacity (max 5 per room), suggesting good privacy and avoiding overcrowded dorms.",38,21,17,9,"['Pokoj č. 1: až 4 osoby', 'Pokoj č. 2: až 4 osoby', 'Pokoj č. 3: až 5 osob', 'Pokoj č. 4: až 4 osoby', 'Pokoj č. 5: až 4 osoby', 'Pokoj č. 6: až 5 osob', 'Pokoj č. 7: až 4 osoby', 'Pokoj č. 8: až 4 osoby', 'Pokoj č. 9: až 4 osoby']",,8,8,,YES,finnish,YES,YES,YES,V kuchyni je plně vybavena pro běžné vaření; v velkém sále lze využít výčepní zařízení.,100,,Velký společenský sál (lze pronajmout) o celkové kapacitě až 100 osob. Má krb a bar.,2,1,"Plně vybavená kuchyň: lednice, trouba, mikrovlnná trouba, sporák, myčka nádobí.",YES,,YES,NO,1700,,"K ceně ubytování se po skončení pobytu účtují reálně spotřebované energie (voda, topení, dřevo, elektřina). Záloha je 50% z celkové ceny.",6395,ubytovani-pavlice-chalupa-na-mlate-o6395.html
22,87.0,76.0,Chalupa Stará Škola,https://www.e-chalupy.cz/chalupa-stara-skola-strazne-pronajem-o15694,Krkonoše,Strážné,"https://www.google.com/maps?q=50.6662938889,15.6158783333","50.6662938889, 15.6158783333",22.0,23.0,16.0,14.5,13.0,YES,"This chalet is an excellent fit for 'garage-trip.cz' due to its massive capacity, large communal areas, and comprehensive wellness facilities. While the sleeping arrangement appears dormitory-style (lacking privacy), the sheer size of the common room and kitchen easily accommodates a large tech group. We recommend confirming the availability of a beer tap upon booking.","• Excellent large common room space for group activities
• High capacity with ample sleeping arrangements
• Includes modern kitchen facilities for large groups
• Features both indoor and outdoor wellness options (sauna/hot tub)","• Sleeping arrangement in photos appears dormitory-style (less private)
• Lack of explicit beer tap availability
• The property description does not confirm a dedicated, high-volume common area separate from the main living space.","The photos show a large main common room (Photo 011) with ample space for gathering and multiple small tables/chairs suitable for workshops or board games. The second photo (026) shows the outdoor area featuring a hot tub/pool under a wooden pergola structure, confirming wellness amenities. The third photo (021) displays the interior sleeping quarters: it is a large room with several single beds arranged against the walls, maximizing space and providing a dormitory feel, though not an overcrowded bunk setup. The kitchen photos confirm modern appliances for cooking 25-35 people, including multiple refrigerators/freezers and a gas stove. The sauna (Photo 006) appears to be a dedicated Finnish sauna area.",28,28,0,8,"['1x 2-bed', '2x 3-bed', '5x 4-bed']",,8,8,8,YES,finnish,YES,YES,NO,Available for games (billiard table) and general socializing.,,,Large dining hall/living room with a fireplace and recreation area.,2,1,"Well-equipped kitchen with two refrigerators, dishwasher, gas stove, microwave, etc., suitable for large groups.",YES,15,YES,NO,25000,30000,Weekend price is listed for the off-season. Booking requires a deposit (100% for short stays).,15694,chalupa-stara-skola-strazne-pronajem-o15694.html
23,85.0,80.5,Chata Nový Zlatník,https://www.e-chalupy.cz/chata-novy-zlatnik-krasna-pronajem-o13947,Beskydy,Krásná,"https://www.google.com/maps?q=49.535077222,18.499008333","49.535077222, 18.499008333",25.0,23.0,16.0,14.0,13.0,YES,"This property is an excellent fit for garage-trip.cz due to its massive common area and high capacity. The combination of a large workshop space, fully equipped kitchen, and sauna makes it highly suitable for tech retreats, provided the group can manage the varied sleeping arrangements.","• Massive common room and dedicated dining/workshop space for 25+ people.
• Excellent facilities including Finnish sauna and well-equipped kitchen.
• High capacity (up to 28 guests) suitable for group events.","• The sleeping arrangements are varied (mix of apartments/rooms), which might require careful coordination for a large group.
• While the common room is huge, the sheer number of bathrooms/toilets (5 toilets + multiple showers) needs confirmation for peak usage by 30+ people.
• No dedicated hot tub or pool visible.","The photos (e.g., '011_spolecenska-a-jidelni-mistnost.jpg') show a very large common room/dining area with multiple long tables and ample seating capacity, confirming the ability to host 25-30 people for workshops or gaming. The sauna is visible as part of the wellness facilities (ochlazovna se saunou). The kitchen areas are described as 'velmi dobře vybavených kuchyňských koutech' with a large dining area setup.",28,24,4,9,"['6x 2-bed', '3x 4-bed']",,5,5,2,YES,finnish,NO,NO,YES,"Jídelní stoly pro 24 hostů, vhodné pro work nebo hry.",24,,Společenská místnost s jídelnou a krytou terasou. Má krbovou kaminu a je vhodná pro setkání.,1,1,Dvě kuchyně (větší ve společných prostorech a menší v patře) s myčkou nádobí.,YES,,YES,NO,29990,7990,"Cena zahrnuje pronájem, úklid, povlečení a využití vybavení. K ceně se připočítává elektřina.",13947,chata-novy-zlatnik-krasna-pronajem-o13947.html
24,85.0,79.5,Chata Smrková,https://www.e-chalupy.cz/ubytovani-karlov-pod-pradedem-chata-smrkova-o1304,Jeseníky,Karlov pod Pradědem,"https://www.google.com/maps?q=50.02047,17.2979425","50.02047, 17.2979425",23.0,22.0,17.0,14.5,13.0,YES,"Chata Smrková is an excellent fit due to its massive common room and high-quality, dedicated private wellness amenities. The capacity and kitchen are perfect for group events, making it highly recommended despite the slightly formal feel of the sleeping quarters.","• Excellent private wellness facilities (sauna, hot tub) included in the stay.
• Very large common room and dining area suitable for group activities/workshops.
• Fully equipped kitchen capable of catering to a large group.
• High capacity (up to 30 guests) with multiple bathrooms (9 toilets).","• The sleeping arrangements are spread across many small, private rooms rather than dedicated dorms, which might feel less 'campy' for some gamers.
• While the common room is big, the seating arrangement in photos suggests more dining/meeting setup than flexible gaming space.
• The property description mentions utilizing external hotel facilities (Kamzík) for wellness, but also confirms a private internal wellness center.","The photos show a large common area (jidelna/společenská místnost) with ample space for gathering. Specifically, Photo '022' shows multiple sturdy wooden tables and chairs arranged in rows suitable for workshops or group dining. The wellness area ('023', '024', '025') confirms a private sauna (sudová sauna), hot tub/jacuzzi (vířivka), and general relaxation space, which is a major bonus. The kitchen photos confirm a fully equipped kitchen with modern appliances (induction cooktop, dishwasher, etc.).",30,30,0,9,['Multiple rooms with private bathrooms and showers.'],,9,9,9,YES,finnish,YES,YES,YES,Kitchen/dining area provides ample workspace for large groups.,,,"The ground floor features a fully equipped kitchen and dining area, plus a common living space with a fireplace.",1,1,"Fully equipped kitchen with induction hob, microwave, electric oven, refrigerator, and dishwasher.",YES,,YES,NO,,,Pricing is variable based on season and occupancy. A refundable deposit of 5000 CZK is required.,1304,ubytovani-karlov-pod-pradedem-chata-smrkova-o1304.html
25,85.0,79.5,Selská Chalupa,https://www.e-chalupy.cz/ubytovani-lesni-chalupy-selska-chalupa-o2239,Šumava,Lesní Chalupy,"https://www.google.com/maps?q=49.068890556,13.640619722","49.068890556, 13.640619722",23.0,21.0,16.0,14.0,12.0,YES,"This chalet is an excellent candidate for garage-trip.cz due to its high capacity, extensive amenities, and dedicated common areas. The combination of a large gathering space, multiple bathrooms, and wellness facilities makes it highly suitable for a tech retreat group.","• Excellent capacity (35 guests)
• Multiple private bathrooms/toilets (10 total)
• Comprehensive wellness facilities (Sauna, Pool, Hot Tub)
• Large common area suitable for workshops and games","• The sleeping arrangement is spread across 10 rooms with private baths, which might feel less 'open' than a dedicated retreat lodge.
• While the kitchen is described as fully equipped, specific details on large-scale catering equipment (e.g., industrial ovens) are missing.",The photos show a large common area/dining hall (jidelna) with multiple wooden tables and chairs suitable for group activities. The kitchen area is visible and appears fully equipped. A sauna photo confirms the Finnish sauna facility. The overall setup suggests a communal living space designed for groups.,35,35,0,9,['Mixed size rooms (2-6 beds)'],,10,10,10,YES,finnish,YES,YES,YES,Available in the spacious common room and dining area.,,,Spacious common area with TV and a separate dining/bar area.,1,1,"Fully equipped kitchen with appliances for large groups, including a dishwasher and fridge.",YES,,YES,NO,31000,31000,Price is for the whole object. Additional fees apply for groups over 20 people.,2239,ubytovani-lesni-chalupy-selska-chalupa-o2239.html
